,Unnamed: 0,평점,날짜,제목,내용
115,115,5,20.07.22.,제가 선크림만 바르면 엄청 번들거는데 번들거림을 잡아줘,제가 선크림만 바르면 엄청 번들거는데 번들거림을 잡아줘서 너무 좋아요한가지 단점이라면 눈 주위에 바르면 눈시림이 있는데 보통 유기자차만 그런줄 알았는데 이 선크림은 무기자차인데도 눈시림이 심해요 그래서 눈 주변에는 안 발라요
116,116,5,19.08.21.,화장대에 쟁여놓고 쓰는 제품이예요 발림성이 나쁘진 않으나 백탁현상때문에 첨엔 바르기 힘들다고 느꼈는데 조금 있으니 백탁이 어느정도 사라져서 적당히 하얀 느낌이예요 그리고 무기자,화장대에 쟁여놓고 쓰는 제품이예요 발림성이 나쁘진 않으나 백탁현상때문에 첨엔 바르기 힘들다고 느꼈는데 조금 있으니 백탁이 어느정도 사라져서 적당히 하얀 느낌이예요 그리고 무기자차라 살짝 당김이 있지만 전 미스트 가끔 뿌려주면 괜찮네요 화장을 워낙 안하는 편이라 썬크림만 바르는지라 썬크림이 중요한데 닥터지 좋아요 좋은 성분으로 좋은 제품 계속 만드셨음 좋겠네요
117,117,5,20.01.07.,횟수로 년째 사용 중입니다 통 정,횟수로 년째 사용 중입니다 통 정도 비운듯하네요수부지 여드름 간간히 있고 홍조 피부인데 바르면 싹 스며들고 답답한느낌이 없습니다 홍조를 가리진 못하지만 어차피 썬기능에 초점을 맞추거라 불만은 없네요 어차피 메베 사용하여 홍저는 가리면 되니피부과 시술 후에는 건조해지는지 수부지임에도보습기능있는 핑크색 썬도 쓰니 촉촉하니 좋드라구요 샘플로 온거
118,118,5,20.02.09.,늘 쓰던 제품이에요,여드름 나고 복합성티존은 유분 다른곳은 건조ㅠ 피부예요 이전에 천연화장품 성분 조은거로 썼는데 이걸로 바꾸고 전 이게 더 맞아요 첨에는 건조한가 했는데 크림 약간과 호호바 오일 바르고 이거 바르면 기름도 많이 안올라오고 좋아요 백탁도 거의 없어요샘플 줘서 여기서 샀어요 ㅎ
119,119,5,20.02.25.,이거만 써요 정말 예민하고 수부지에 ㅇㄷ름피부 민감성피부인데요 모든 안좋은거예민한거 다 갖춘 피부라 평소에 화장품도 고르기어렵고 피부과에서도 어려워하는 피부입니다ㅠㅠ아주 순하면서,이거만 써요 정말 예민하고 수부지에 ㅇㄷ름피부 민감성피부인데요 모든 안좋은거예민한거 다 갖춘 피부라 평소에 화장품도 고르기어렵고 피부과에서도 어려워하는 피부입니다ㅠㅠ아주 순하면서 건조하지도않고 유분기있지도 않아야 피부에 바를 수 있는데이 선크림은 확실하네요제가 전파시켜서 친구들 남자친구까지 이 선크림만 써요 심지어 남친은 이거쓰고 ㅇㄷ름도 안나고 피부가 더 좋아졌네요ㅎㅎ주변에 오프라인매장이없어거 항상 주문하는데 배송도 그냥저냥빨라요
120,120,5,19.11.01.,썬크림 하나사면 무지 오래쓰는데 요번에 똑 떨어져서,썬크림 하나사면 무지 오래쓰는데 요번에 똑 떨어져서쓰던 로드샵은 온라인판매를 중단해서 뭐 살까 검색하다가 평이 너무 좋아서 구매했어요아직 남은거 마저 쓰느라 요건 아직 사용전인데평가가 워낙 좋은만큼 좋을거라 기대합니다
121,121,5,20.01.19.,이 상품 좋다고 듣고 샀는데 사,이 상품 좋다고 듣고 샀는데 사실 갠적으로 실망한 아이템 발림성 괜찮은데 건성에 약간 보습력 떨어지고 특히나 메이크업할때 밀려가지고 너무 고생함 그냥 이아이만 순하게 성분 보고 쓴다고 하면 괜찮지만 아님 솔직히 비추하구요 가격이 저렴해서 가성비는 좋아요
122,122,5,20.01.31.,정말 추천해요 맨날 랑콤 선크,정말 추천해요 맨날 랑콤 선크림 사서 쓰다가 아기 낳고 저렴한거 그냥 외출할때 가볍게 바를 수 있는 것 샀는데 완전 만족합니다 가볍게 발리고요 무엇보다도 끈적임이 없어요 얼굴이 살짝 하얗게 되는 백탁현상이 있지만 이 가격에 이정도 퀄리티는 정말 훌륭합니다
123,123,4,19.07.05.,배송 굉장히 빠르네요,예상했던 것보다 빨리 받아서 기분이 좋습니다상세페이지에 공지 된 대로 샘플까지 챙겨주셨네요눈시림 없고 끈적거리지 않은 제품 중에선가성비 제일 좋은 상품인 듯 하여몇 통째 쓰고 있습니다발림성이 약간 뻑뻑한 느낌이 없진 않지만무기자차 제품인 거 감안하면발림성도 괜찮은 편에 속합니다제가 받은 제품의사용기한은 년 월 일까지입니다구매하실 때 참고하세요
124,124,3,19.07.13.,처음 구매해서 한달째 사용중이에요복합성 피부인데,처음 구매해서 한달째 사용중이에요복합성 피부인데 특별한 트러블도 없고 발림성도 가볍고 좋아요다만 시간 경과 후 속당김이 있고 썬크림 사용 후 파운데이션이나 쿠션 사용하면 몇 시간 뒤 화이트헤드처럼 화장이 들떠요지금까지 이런 경우는 처음이라 좀 징그럽고 놀랐지만그 외에는 괜찮은 것 같아 집에서 평상시 그냥 편하게 발라요
125,125,3,19.07.13.,처음 구매해서 한달째 사용중이에요,처음 구매해서 한달째 사용중이에요복합성 피부인데 특별한 트러블도 없고 발림성도 가볍고 좋아요다만 시간 경과 후 속당김이 있고 썬크림 사용 후 파운데이션이나 쿠션 사용하면 몇 시간 뒤 화이트헤드처럼 화장이 들떠요지금까지 이런 경우는 처음이라 좀 징그럽고 놀랐지만그 외에는 괜찮은 것 같아 집에서 평상시 그냥 편하게 발라요
126,126,5,20.03.04.,최고예요,다써가는것과 새로산거에요 엄마쓰는건데 좋으시다고 이것만 고집하세요일단 무기자차라 피부에 자극이 적어요눈시림도 없고 무기자차임에도 백탁현상이 거의없어요향도 은은하고요중요한건 무기자차가 환경보호에도 한몫을 한다고 해서저와 엄마 모두 무기자차를 고집합니다앞으로도 쭉이용할것같아요
127,127,5,20.05.08.,두번째 구입입니다 무기자차 약간 매트한 느낌이지만 얼굴,두번째 구입입니다무기자차 약간 매트한 느낌이지만 얼굴에 트러블 없어 아주 만족하는 제품입니다좀 비싼편이지만 옥션을 통해 저렴하게 구입했구요포장상태 배송속도도 빠르고 좋아요보통 화장품 구입하면 샘플 몇개 정도는 오는데 여긴 실 주문상품만 주시네요 ㅋㅋ 고게 좀 아쉽
128,128,5,20.02.03.,닥터지는 신세계몰이 가장 저렴,닥터지는 신세계몰이 가장 저렴해요사람들이 닥터지 썬케어 얘기를 많이해서 구매했는데정말 보송하고 백탁이 없어 너무 좋네요향도 음은해서 더 좋고요이지함 썬크림보다 가격면이나 뭐로든 다 좋은 것 같아 앞으론 닥터지만 사용할 것 같아요
129,129,5,19.08.22.,선크림으로 인한 눈따가움 눈부심 눈물 현상이 있을 때 무기자외선 차단제를 찾다가 사용하게 되었습니다 번들거리지 않고 순하여 지성 피부에 적합한 것 같아요 좋은 제품 착한 가,선크림으로 인한 눈따가움 눈부심 눈물 현상이 있을 때 무기자외선 차단제를 찾다가 사용하게 되었습니다 번들거리지 않고 순하여 지성 피부에 적합한 것 같아요 좋은 제품 착한 가격에 구입하여 기분이 좋네요 샘플도 많이 챙겨주셔서 감사합니다
130,130,5,19.05.30.,항상 쓰는거예요 싸게 잘샀어요,아토피있는 살 애기들 발라줬는데 워낙 순해서 그런지 트러블도 안나고 좋더라구요유아전용선크림보다 훨 좋아요 안 번들거리고 발림도 좋고 싸게 샀는데 샘플도 잔뜩 받으니 너무 좋네요 구성 본품에 미니 개진정커버 미리 민감커버 미리머리끈이랑 같이 찍었어요ㅋㅋ 크기 보시라구에어리스킨업도 엄청나게 가볍게 발리고 시원해요 넘넘좋아요 다들 두 개 다 사세요
131,131,4,19.04.19.,얼마간 사용후의 느낌은,성분면에서 좋은 듯 트러블이 전혀 없네요 손등에 반은 바른 사진인데 백탁이 전혀 없어 보이지만 실제로 얼굴에 바르면 백탁 있어요 그리고 무기라서 그런지 확실히 매트하네요 촉촉함은 전혀 없어서 요즘 날씨에 바르면 얼굴 피부가 바짝 말라 보여요 그렇다고 기초를 충분히 바르면 자차 바를때 겉돌아서 한참을 문질러 흡수시켜야 해요 약간은 매트한 상태에서 자차를 바르면 아주 발림성 좋게 빠르게 도포돼요 전 하는 수 없이 놔뒀다 여름에 쓸려구요 지성피부라면 이 계절에도 좋을듯하네요
132,132,5,19.09.23.,최근 운동 나갈 때 선크림의 중요성을 깨닫고 주문하게 됐습니다 제가 피부가 자극적이지 않고 순한 걸 주로 쓰는데 손등에 시험 삼아 발라보니 촉촉하고 향도 자꾸만 맡게 되네요 이,최근 운동 나갈 때 선크림의 중요성을 깨닫고 주문하게 됐습니다 제가 피부가 자극적이지 않고 순한 걸 주로 쓰는데 손등에 시험 삼아 발라보니 촉촉하고 향도 자꾸만 맡게 되네요 이제 마음 놓고 밖에 외출할 수 있을 거 같아요
133,133,5,19.08.26.,성분이나 내게맞지않으면 얼굴이 다 뒤집어지는편이라 항상 화장품살땐 조심스러운데요ㅠ 마침 수분크림과 썬크림이 다떨어져가서 큰맘 먹고 구입했구 일주일써본결과 아직까진 트러블은 나지않아,성분이나 내게맞지않으면 얼굴이 다 뒤집어지는편이라 항상 화장품살땐 조심스러운데요ㅠ 마침 수분크림과 썬크림이 다떨어져가서 큰맘 먹고 구입했구 일주일써본결과 아직까진 트러블은 나지않아 다행이고 일단 수분크림은 발랐을때 좋습니다끝까지 트러블 없이 잘 맞길 바라며 배송을 좀 늦게받았는데 그래도 미리연락남겨주셔서 믿고기다렸어요샘플두 마니주셨고 상품도좋은것같아요
134,134,5,19.11.02.,사용하던제품이고 마음에 들어 재구매했어요통구매라 언제쓰나했는데 썬크림은 언제든 기본 필수템이니 괜찮아서 구매했는데 열심히 사용한덕에 벌써 통 다 써가네요 부담없이 꼼꼼사,사용하던제품이고 마음에 들어 재구매했어요통구매라 언제쓰나했는데 썬크림은 언제든 기본 필수템이니 괜찮아서 구매했는데 열심히 사용한덕에 벌써 통 다 써가네요 부담없이 꼼꼼사용 자극도없어서 데일리사용 너무 좋아요
135,135,5,19.06.19.,최근 썬크림 세개를 샀어요 네사 암웨이 아티스리닥터지 그린마일드 업 세가지를 샀는데요 원래 밑화장 전에 바르려구 사,최근 썬크림 세개를 샀어요 네사 암웨이 아티스리닥터지 그린마일드 업 세가지를 샀는데요 원래 밑화장 전에 바르려구 사보았는데요 닥터지는 셋중 가장 저렴한거구요 셋다 좋긴 하지만 유일하게 유치원 딸들까지 발라주는게 닥터지 예요 닥터지는 발림성도 좋고 까무잡잡한 아이인데 뽀사시 해지는게아침에 세수하고 로션대신 이거 그냥 발라 주면 짱 짱 좋아요어린이용 선스틱 선파우더 부터 해서 유아용 썬크림 해년마다 이것저것 샀는데 어린이 용이어도 뾰루지같은거 나더라구요 닥터지 쓴후로는 다 걷어치웠어요 이것만 쓸 예정입니다
136,136,4,19.10.20.,닥터지 그린 마일드 선크림 전에 사용하던 다른라인의 닥터지 선크림을 사용중인데 무기차제품을 함써볼려구 구매 해봤는데 유분감이 많은 제품이여서 겨울때 써야할것 같아요작은사,닥터지 그린 마일드 선크림 전에 사용하던 다른라인의 닥터지 선크림을 사용중인데 무기차제품을 함써볼려구 구매 해봤는데 유분감이 많은 제품이여서 겨울때 써야할것 같아요작은사이즈로 본품용량 만큼 구성되어 있어서 여행시 사용할수 있어서 좋았어요
137,137,5,19.08.09.,지금 두번째입니다 처음 싸봤는데 눈도 따갑지않고 너무 좋드라고요 대박 질도좋고 피부에도 맞고해서좋는 단점이라단점은 양이 좀부족한것같아오 ㅠㅜ 개월정도면 다쓰는것같아오 ㅠㅜ 양 이,지금 두번째입니다 처음 싸봤는데 눈도 따갑지않고 너무 좋드라고요 대박 질도좋고 피부에도 맞고해서좋는 단점이라단점은 양이 좀부족한것같아오 ㅠㅜ 개월정도면 다쓰는것같아오 ㅠㅜ 양 이좀 많았느면좋겠아요 일딴 다른 타사 썬쓰림도많이써봤지만 아주좋네요 그리고 전는 건성이라 피부가많이 건조한데 딱인것같아요 건조해지지도ㅜ않고 아직까지는 피부트러블이 않나고 잘쓰고있어요 앞으로도많이 애용할게요 아 그리고 배송면에서도 너무 만족해요 일딴 포장상태도 어디ㅡ하자없이 깨끗하게 오고ㅜ그리고 배송속도도 너무 빨라서 좋아요 저희집이 시골쪽인데도 불구하고 주문하면 틀안에는 오는것같아요 너무 만족흡족합니다
138,138,5,20.01.17.,무기자차 중에서 최고로 저랑 잘,무기자차 중에서 최고로 저랑 잘맞는데에서 제일 저렴해서 구매했습니다눈이 시리거나 하는 증상도 없고백탁이 조금 있어서 피부보정효과도 조금있는듯 합니다썬크림 전에 기초가 두껍지않다면밀리는 현상은 거의 없다고 봐도 좋을듯 합니다
139,139,5,19.11.15.,고민은 주름이라고 했지만 썬크림으로서는 아주 좋은 것,고민은 주름이라고 했지만 썬크림으로서는 아주 좋은 것 같애요약간의 미백효과도 있는지 이 제품을 바르면 얼굴이 좀 희어지거든요피부에 발라지는 느낌도 촉촉하니 좋구요 바르면 왠지 건강해 지는 느낌입니다가격도 무시할 수 없는데 가격대비 참 좋은 제품이라고 주위에 추천해 드리고 싶네요좋은 제품 감사드립니다
140,140,4,19.08.21.,무기자차라 시간이 지나면 좀 건조한 편이예요미스트 가끔 뿌려주면 괜찮네요 년째 쓰고 있는데 좋아요적당한 백탁현상이 있어서 바를 때 여러번 문질러줘야 해요안정되면 괜찮아요 트러,무기자차라 시간이 지나면 좀 건조한 편이예요미스트 가끔 뿌려주면 괜찮네요 년째 쓰고 있는데 좋아요적당한 백탁현상이 있어서 바를 때 여러번 문질러줘야 해요안정되면 괜찮아요 트러블없고 논나노라고 해서 안심하고 사용하고 있답니다
141,141,4,19.10.17.,지성 민감성 심각한 트러블 피부 임돠백탁도 적당하고 기름지지 않고 뽀송한 느낌이구요 절대 기름지지 않아서 좋았습니다 여름에 더 잘 쓸거 같구요솔직히 써본 선크림중 사용감,지성 민감성 심각한 트러블 피부 임돠백탁도 적당하고 기름지지 않고 뽀송한 느낌이구요 절대 기름지지 않아서 좋았습니다 여름에 더 잘 쓸거 같구요솔직히 써본 선크림중 사용감은 최고였습니다 원체 민감하니 선크림 뭘 발라도 트러블 나는데 이건 심하지는 않네요 두개 쟁여 놨습니다
142,142,5,19.01.06.,우선 배송이 너무 빨라서 좋았어요 거의 하루만에 온것 같아요 포장상태도 좋았고 다른 샘플도 같이 넣어주셔서 좋았습니다닥터지 선크림 좋다는 얘기는 많이 들었지만 남들한테 좋은것,우선 배송이 너무 빨라서 좋았어요 거의 하루만에 온것 같아요 포장상태도 좋았고 다른 샘플도 같이 넣어주셔서 좋았습니다닥터지 선크림 좋다는 얘기는 많이 들었지만 남들한테 좋은것도 저에게는 아닐수도 있는 예민한피부이기에 고민하다가 부담되지 않는가격이라 주문했어요 워낙 건조하고 예민한데다가 선크림은 꼭 필수로 사용해야하는데 왠만한 선크림은 흔히들 일어나는 눈시림에다가 따가움을 많이 느껴서 한번 괜찮은 제품을 잘 안바꾸고 계속 사용하는편인데 환경이며 피부컨디션이며 워낙 요즘 자외선관리가 더 중요하다 생각들어서 무기자차로 사용하려고 이 제품을 구매했습니다 우선 사용감은 너무 만족하구요 무기자차답지 않게 발림성도 좋고 배송받은후부터 약 삼일정도 사용중인데 눈시림도 없고 따갑거나 하는것도 없고 좋습니다 후기 쓰고 지금 하나 더 구매하려구요
143,143,4,19.08.07.,무기자차 선크림은 백탁현상이 심하다는데 이건 전혀 심하,무기자차 선크림은 백탁현상이 심하다는데 이건 전혀 심하지 않고 적당합니다 자연스러워요 근데 발림성이 너무 뻑뻑하고 밀림ㅠ 진짜 꼼꼼하게 잘 펴발라줘야함 그리고 건조하다는 거 뭐 이 제품만 이러진 않고 모든 무기자차 제품들이 다 이렇죠 무기자차의 단점ㅠㅠ그럼에도 불구하고 무기자차를 선택한 이유는 피부에 자극적이지 않고 순하니까
144,144,3,19.07.03.,다 좋은데 마니 땡겨요,가벼운 톤업 눈시림없음 부드러운발림 뜨지않음 성분좋음근데 스킨 에센스 크림까지 바르고 썬크림바르는데 땡겨요ㅠ지성피부인데 땡긴다는거 모르는 피분데 이건 왜이러나 모르겠어요 땡길때 거울보고 깜짝놀랐어요 쫙 땡기고있는 그런느낌ㅋㅋ 다른 선크림과 반반섞어 바르니 땡기진않아요 재구매는 못할것같아요ㅠ 인생선크림될줄알았는데ㅠ
145,145,5,19.03.26.,득템원래 쓰던건데 세일해서 저렴하게 잘샀네용,득템원래 쓰던건데 세일해서 저렴하게 잘샀네용선크림 유목민이었는데 친구가 쓰는거 한번 써보고 반해서이제 닥터지에 정착하려규요닥터지 선크림 종류 다 써봤는데 이게 제 피부에는 제일 잘 맞는거같아요백탁현상 좀 있지만 오히려 얼굴 화사해보여서 화장 잘 먹은느낌ㅌ팩트만 발라줘도 피부 좋아보려요샘플까지 야무지게 챙겨주심사용기한도 길어용 최근 제조상품인가봐요
146,146,5,19.05.27.,건조하지만 좋아요,제 피부는 건성이고 수분앰플에 수분크림 발라도 약간 건조해지는 편이에요아침에 화장은 따로하지 않고 수분앰플수분크림위에 선크림 발라요오백원짜리 동전 하나 크기로 짜서 손으로 발라요손가락주름에 많이끼지 않고 잘 흡수돼요백탁이 심하지 않아서 좋아요백택이인건 아니고 그냥 모공피부톤정돈 정도원래 얼굴에 머리카락 달라붙는거 안좋아해서선크림 바르고 노세범파우더도 바르는데 이건 안발라도 돼요알아서 건조해지거든요 ㅎㅎ여름에 바르기 딱 좋은 제형이에요전 재구매할거에요사은품도 감사합니닷
147,147,5,20.01.30.,성분에 따라서 선크림 사용 후 ,성분에 따라서 선크림 사용 후 눈시림이 있는 경우가 많아서 무기자차 선크림 알아보다가 구매했어요순해서 트러블 없이 눈시림 걱정없이 데일리로 잘 사용하고 있어요피부보정이나 커버효과는 거의 없지만 아주 살짝 정돈된 느낌이 들긴해요
148,148,5,19.08.30.,이 글 보시면 바로 구매하세요,기존에 쓰던 거는 핑크색 보습이어서 이번에는 그린으로 주문해봤습니다 촉촉하고 처음에는 살짝 톤업도 되는 것 같아요제 피부는 건성입니다 샘플도 같이 보내주셔서 보니까 사려고 고민했던 브라이트닝 선크림 있어서 테스트 해보고 또 구매하려구요 유통기한도 넉넉하고 배송도빠른 편입니다 제품 감사합니다
149,149,4,19.09.30.,샘플 썼을 때 촉촉하고 좋았어요 건성이라 촉촉한 거 찾았거든요근데 이게 바르고나서는 바를 때만큼 촉촉함이 유지되진 않아요 그리고 화장품 냄새 민감하신 분들은 좀 많이 난다고,샘플 썼을 때 촉촉하고 좋았어요 건성이라 촉촉한 거 찾았거든요근데 이게 바르고나서는 바를 때만큼 촉촉함이 유지되진 않아요 그리고 화장품 냄새 민감하신 분들은 좀 많이 난다고 생각할 수도 있을 거 같아요 저는 하얗게 되는 게 상관없는데 좀 뭉친 거 같을 때가 있어서 이것도 신경쓰이면 참고하는 게 좋겠네요
150,150,4,19.06.12.,제가 구독하고있는 유투버가 좋다고해서 사봤습니다 저는 그냥 좀 괜찮은것같아요 무기자차 치고 백탁이적은게 좋지만 없진않구요 발림괜찮고 좋은데 가격이좀 안착하니까 좀 많이건조해서,제가 구독하고있는 유투버가 좋다고해서 사봤습니다 저는 그냥 좀 괜찮은것같아요 무기자차 치고 백탁이적은게 좋지만 없진않구요 발림괜찮고 좋은데 가격이좀 안착하니까 좀 많이건조해서 건성이신분들은 비추입니다 보통이신분들은 기초를 단단히 쌓아서 바르시는게 좋을것같아요 저는 약간 건조한것같아서 유수분 잘깔아놓고 씁니다 평소에 쓰던 자차는 유분기가있어서 수분위주로만 챙기고 자차발랐는데 이거쓰려면 가벼운 크림은 발라야겠더라구요 시간지나니까 겉으로는 괜찮은데 속건조가 느껴집니다
151,151,5,19.05.18.,인생선크림을 만났네요 초민감성피부후기,저는 초민감성이라  유기자차는 아예못바르고요끈적이고 백탁오지고 번들거림이심해서 무기자차도 진짜 종류별로 다 써본사람인데요 심지어 민감성이라 스킨로션도 베이비라인씁니다  달간 유럽여행일정이 있어서 미치도록 썬크림을 찾던중이상하면 몸에라도 바를려고 사봤어요 이미 실패하여 몸에 바를 선크림은 포화지만 먼저 샘플을 조심스레 사용해보았는데요 와 진짜  이거슨 번들거림 없고요 건조함도 없고요눈시림 당연없고요백탁 거의 진짜 거의 없어요  아시죠 다른 무기자차백탁오지는것  약간 뽀얀느낌 딱 그정도단종되면 본사찾아감 강추합니다
152,152,5,20.02.05.,트러블 많은 제 피부에 잘 맞아,트러블 많은 제 피부에 잘 맞아서 데일리로 쓰는 선크림이에요 바르면 보송보송해서 좀 건조한 것 같기도 한데 기초 잘 세우고 바르면 괜찮은 것 같아요 시간이 지나고 기름이 잘 안 생겨서 지성 피부에도 좋고 트러블이 안 나니까 민감성 피부에도 좋을 것 같아요
153,153,5,피엠제이.,복합성 지성이라 썬크림 찾기 힘들었는데요 원래 시세이 황금통 쓰다가 일본 불매하느라 어렵게 찾은 대체품이에요 이전 제품은 유기자차라 몇 년 쓰니까 점점 피부가 간지럽고 트러블,복합성 지성이라 썬크림 찾기 힘들었는데요 원래 시세이 황금통 쓰다가 일본 불매하느라 어렵게 찾은 대체품이에요 이전 제품은 유기자차라 몇 년 쓰니까 점점 피부가 간지럽고 트러블이 생기려 했는데요 이건 무기자차라 그런 부담도 없고 처음엔 백탁 좀 있다가 조금 지나면 싹 없어져요 무기자차인데 발림성도 부드럽고 유분도 거의 안 나와요 인생템 될 것 같네요 ㅠ
154,154,4,19.08.06.,넘 실망이 크네요 아들 군대에 입대할때 주려고 여기저기 상품평 검색하다 후기가 좋아서 주문했는데 발림성도 안좋고 처음 발랐을때 너무 하얗고 얼굴에 화장품이 안맞아 뜬것처럼 지저분,넘 실망이 크네요 아들 군대에 입대할때 주려고 여기저기 상품평 검색하다 후기가 좋아서 주문했는데 발림성도 안좋고 처음 발랐을때 너무 하얗고 얼굴에 화장품이 안맞아 뜬것처럼 지저분합니다 정말정말 반품하고 싶은데 샘플키드를 뜯어 제품이 어떤지 사용해 봤으니 반품할 수도 없고 쉽게 손이 안갈고 같은데 다른 제품 다시사서 써야 될것 같아요
155,155,5,20.01.19.,여러 썬크림을 써봤지만 눈이 따,여러 썬크림을 써봤지만 눈이 따까워서 항상 눈이 불편했지만 이 썬크림을 만나고서는 그런점이 전혀 없어서 제일 좋아요 무엇보다도 순하고 심한 번지거림이 없어서 좋고 피부에 잘 맞아서 제일 좋아요 주변지인한테도 추천했어요 그만큼 좋아서 넘 잘 쓰고 있어요 통째쓰고 있어요 계속 이제품만 쓸려구요
156,156,5,19.08.21.,그린마일드 입과 브라이트닝을 함께 시켜서 그린은 먼저 바르고 손등과 목부의 등을 함께 사용하며 브라이트닝은 얼굴에 한번 더 발라 꼼꼼함과 화사함을 추구합니다 아직 많,그린마일드 입과 브라이트닝을 함께 시켜서 그린은 먼저 바르고 손등과 목부의 등을 함께 사용하며 브라이트닝은 얼굴에 한번 더 발라 꼼꼼함과 화사함을 추구합니다 아직 많이는 안 써 봤지만 우선유분기가 많지않고 괜찮은거 같네요
157,157,5,19.06.26.,피부가 예민해서 선크림같은 거 잘못 바르면 뒤집어지고 스트레스 받아서 아무것도 안 발랐었어요 그런데 선크림은 필수라는 말 듣고 제일 유명하고 순하다길래 사서 써 봤는데 잘 맞더라,피부가 예민해서 선크림같은 거 잘못 바르면 뒤집어지고 스트레스 받아서 아무것도 안 발랐었어요 그런데 선크림은 필수라는 말 듣고 제일 유명하고 순하다길래 사서 써 봤는데 잘 맞더라고요 세일하는 김에 하나 더 쟁이려고 샀습니당 잘 바를게요 
158,158,5,19.08.22.,써본 썬크림 중에서 모든 면에서 제일 적당했어요 살짝 톤업이 되는 예쁜 백탁이 있고 바를때부터 부드럽게 잘 발려요 많이발라도 뜨는 현상도 없었어요,써본 썬크림 중에서 모든 면에서 제일 적당했어요 살짝 톤업이 되는 예쁜 백탁이 있고 바를때부터 부드럽게 잘 발려요 많이발라도 뜨는 현상도 없었어요 복합성 피부인 저한테는 건조함은 거의 없고 여름에 바르면 시간이 지나서 얼굴이 살짝 번들거려지긴하는데 꺼려지는 정도는 아니에요 오히려 가을 겨울엔 건조하지 않아서 딱 좋을거같아요
159,159,5,19.03.30.,좋은 것 같아요,피부에 맞는 것 같아서 좋아요친구가 추천해 줬는데 괜찮아요 일반 매장에서 파는 것 보다 더 저렴하게 구입했습니다사은품으로 작은 선크림까지 받고 단점이 있다면 일반 폼클렌징에는 잘 안씻겨지는 느낌이 들어요메이크업 지우는 오일을 써야지 지워지는 느낌이 듭니다근데 얼굴에 기초 발르고 나서 발르면  눈에 발르지도 않았는데 눈이 따가운건 왜 그런걸까요
160,160,3,19.05.14.,테스트 후 마음에 들어서 구매했습니다,테스트 후 마음에 들어서 구매했습니다 사용기한은 년 월 일까지인 상품이네요 제조 후 개월까지가 사용기한인 게 맞다면 년 월 제조상품이겠네요박스에 반품 불가 씰이 붙어 있는데 반대편으로는 씰 제거 없이 상자 개봉이 가능해서 좀 그래요 손톱자국인 것 같은 게 상자에 있는데 박스에만 씰이 있고 제품 자체에는 개봉 씰이 원래 없나봐요 제품에도 씰이 붙어있는 게 신뢰 측면에서는 나을 것 같아요
161,161,3,19.05.14.,테스트 후 마음에 들어서 구매했습니다 사용기한은 ,테스트 후 마음에 들어서 구매했습니다 사용기한은 년 월 일까지인 상품이네요 제조 후 개월까지가 사용기한인 게 맞다면 년 월 제조상품이겠네요박스에 반품 불가 씰이 붙어 있는데 반대편으로는 씰 제거 없이 상자 개봉이 가능해서 좀 그래요 손톱자국인 것 같은 게 상자에 있는데 박스에만 씰이 있고 제품 자체에는 개봉 씰이 원래 없나봐요 제품에도 씰이 붙어있는 게 신뢰 측면에서는 나을 것 같아요
162,162,5,19.11.24.,최고예요,유존은 유분이 거의 없으나 티존에 유분이 많아서 오후가 되면 메이크업이 무너지는 편이에요선크림을 바르고 메이크업을 하면 금방 무너지고 매트한 메이크업을 하면 금방 떠버려서 고민이 많았는데 몇년째 선크림 유목민생활 하던중에 닥터지 선크림에 드뎌 정착 했습니당 ㅠㅠ 유분기도 잘 잡아주면서 너무 매트한 느낌이 아니기 때문에 쿠션바르기 전에 바르기 딱좋아요 백탁 현상도 별로 없으면서 알맞게 톤업도 되는 제품이라 오래오래 쓰고싶네요 ㅎㅎㅎ 감사합니다
163,163,5,19.05.25.,어제 일찍 주문해서오늘 오후에 받았어요 배송이 빨라서도 굿바로 발라봤는데 오올 부드럽게 발리고 백탁도 없고 촉촉하네요처음 사용해보는 건데 아주 흡족해서 계속 사용할 듯,어제 일찍 주문해서오늘 오후에 받았어요 배송이 빨라서도 굿바로 발라봤는데 오올 부드럽게 발리고 백탁도 없고 촉촉하네요처음 사용해보는 건데 아주 흡족해서 계속 사용할 듯미니 사이즈도 두개나 같이 와서 휴대하기도 편해질 것같아 좋아요
164,164,4,19.03.28.,일단 저는 피부에 예민하지 않아 어떤 기초를 발라도 무난합니다 다만 건조하다 건조하지 않다 정도만 느끼는 정도입니다 선크림 같은 경우 바르고 난뒤 시간이 지났을때 건조한가가,일단 저는 피부에 예민하지 않아 어떤 기초를 발라도 무난합니다 다만 건조하다 건조하지 않다 정도만 느끼는 정도입니다 선크림 같은 경우 바르고 난뒤 시간이 지났을때 건조한가가 첫번째 중요하게 보는 포인트고 그 다음 눈 시림 현상이 있냐 이 두가지를 봅니다 이 상품같은경우에는 에센스크림 후 발랐을때도 시간이 지나니 건조함이 느껴졌습니다 그리고 눈시림 현상은 없습니다 백탁현상은 아주 없는 편은 아니고 피부톤을 톤정도 올려주는 정도로 나타납니다
